Company / Entity Name,Effective Date,Agreement Type,OIG Status,Requires Training of Covered Persons/Entities,When Training Must Begin & Deadline,Mandatory Training Scope & Requirements,Official OIG Agreement PDF,HHS-OIG Listing URL
"Team Health Holdings, Inc. and IPC Healthcare, Inc.","February 3, 2017",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Feb 03, 2017); Deadline: May 04, 2017","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/team-health-holdings-inc-and-ipc-healthcare-inc/
"Signature Healthcare, LLC","May 25, 2018",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 25, 2018); Deadline: Aug 23, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/signature-healthcare-llc/
"Mead Square Pharmacy, Inc. and Christopher K. Casey","March 30, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Mar 30, 2020); Deadline: Jun 28, 2020","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/mead-square-pharmacy-inc-and-christopher-k-casey/
"Healthquest, Inc.","July 10, 2018",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jul 10, 2018); Deadline: Oct 08, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/healthquest-inc/
"BioTek reMEDys, Inc. AZBDR, LLC d.b.a. Avasa Rx Pharmacy, Valustar Pharmacy and Chaitanya Gadde","September 29, 2023",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Sep 29, 2023); Deadline: Dec 28, 2023","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11222/BioTek_09292023.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/biotek-remedys-inc-azbdr-llc-dba-avasa-rx-pharmacy-valustar-pharmacy-and-chaitanya-gadde/
Banner Health,"April 9, 2018",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Apr 09, 2018); Deadline: Jul 08, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/banner-health/
"Health Quest Systems, Inc., and Health Quest Medical Practice, P.C., Health Quest Urgent Medicare Care Practice, P.C., and Putnam Health Center","June 29, 2018",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jun 29, 2018); Deadline: Sep 27, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/health-quest-systems-inc/
Envision Healthcare Corporation,"December 15, 2017",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 15, 2017); Deadline: Mar 15, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/envision-healthcare-corporation/
"Memphis Operator, LLC d.b.a. / Spring Gate Rehabilitation Adn Healthcare Center","January 26, 2018",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jan 26, 2018); Deadline: Apr 26, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/memphis-operator-llc-dba-spring-gate-rehabilitation-adn-healthcare-center/
"Thyroid Specialty Laboratory, Inc. d.b.a. Ten Healthcare, 3890 Management, LLC and Ten Marketing, LLC","July 25, 2023",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jul 25, 2023); Deadline: Oct 23, 2023","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11221/Thyroid_Specialty_Laboratory_Inc_07252023.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/thyroid-specialty-laboratory-inc-dba-ten-healthcare-3890-management-llc-and-ten-marketing-llc/
